"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","40.74","40.53","41.72","40.28","78.65M","-0.39%"
"01.10.2025","40.90","42.11","42.88","40.49","188.72M","-2.92%"
"01.09.2025","42.13","41.93","42.65","41.33","100.97M","-0.43%"
"01.08.2025","42.31","41.85","42.58","40.69","131.79M","2.17%"
"01.07.2025","41.41","41.35","42.96","41.16","149.49M","-0.02%"
"01.06.2025","41.42","41.43","42.42","40.47","120.88M","-0.74%"
"01.05.2025","41.73","41.42","42.14","40.31","86.66M","1.04%"
"01.04.2025","41.30","41.99","42.17","35.76","198.45M","-1.31%"
"01.03.2025","41.85","43.30","43.86","40.60","125.48M","-3.01%"
"01.02.2025","43.15","41.08","43.24","40.68","95.46M","4.18%"
"01.01.2025","41.42","40.72","42.01","39.05","120.79M","1.84%"
"01.12.2024","40.67","44.75","44.83","39.92","107.85M","-9.62%"
"01.11.2024","45.00","43.49","45.48","42.19","108.96M","4.17%"
"01.10.2024","43.20","44.80","44.98","42.84","98.14M","-3.29%"
"01.09.2024","44.67","43.27","45.58","43.23","102.71M","2.57%"
"01.08.2024","43.55","41.62","43.67","40.53","140.18M","5.73%"
"01.07.2024","41.19","38.32","41.64","37.81","119.33M","7.24%"
"01.06.2024","38.41","38.12","39.03","37.53","91.74M","0.95%"
"01.05.2024","38.05","36.18","39.01","36.08","177.32M","5.14%"
"01.04.2024","36.19","39.61","39.62","35.57","193.94M","-8.45%"
"01.03.2024","39.53","39.01","40.33","38.28","133.77M","1.07%"
"01.02.2024","39.11","38.05","39.32","37.08","174.52M","2.57%"
"01.01.2024","38.13","39.97","40.45","38.03","137.91M","-4.82%"
"01.12.2023","40.06","37.22","40.75","37.11","120.52M","7.60%"
"01.11.2023","37.23","33.14","37.26","32.90","131.82M","12.48%"
"01.10.2023","33.10","33.94","34.97","31.99","172.96M","-2.85%"
"01.09.2023","34.07","37.25","37.31","33.46","102.20M","-7.97%"
"01.08.2023","37.02","38.09","38.28","35.58","108.10M","-3.06%"
"01.07.2023","38.19","37.54","39.20","37.26","106.70M","1.33%"
"01.06.2023","37.69","36.01","38.06","35.68","96.79M","4.58%"
"01.05.2023","36.04","37.63","37.83","35.04","91.91M","-4.53%"
"01.04.2023","37.75","37.29","37.88","36.34","93.21M","0.99%"
"01.03.2023","37.38","37.97","38.96","34.34","164.06M","-2.17%"
"01.02.2023","38.21","40.42","42.21","37.94","108.06M","-5.86%"
"01.01.2023","40.59","37.23","40.65","36.61","113.15M","9.91%"
"01.12.2022","36.93","39.63","40.00","36.10","124.26M","-5.89%"
"01.11.2022","39.24","37.10","39.27","35.03","148.77M","6.83%"
"01.10.2022","36.73","36.58","37.60","33.13","175.87M","2.00%"
"01.09.2022","36.01","41.53","43.47","35.42","127.87M","-13.95%"
"01.08.2022","41.85","44.14","45.87","41.75","71.98M","-5.62%"
"01.07.2022","44.34","40.78","44.54","39.99","82.32M","8.52%"
"01.06.2022","40.86","44.39","44.42","38.63","154.70M","-7.60%"
"01.05.2022","44.22","46.73","46.89","41.37","270.92M","-5.11%"
"01.04.2022","46.60","48.55","50.97","46.49","143.21M","-3.56%"
"01.03.2022","48.32","45.29","49.22","44.73","123.88M","7.21%"
"01.02.2022","45.07","47.34","47.93","43.00","125.57M","-4.80%"
"01.01.2022","47.34","51.98","51.98","44.80","175.17M","-8.63%"
"01.12.2021","51.81","47.90","52.17","46.74","151.30M","9.33%"
"01.11.2021","47.39","47.94","49.19","47.15","131.68M","-0.90%"
"01.10.2021","47.82","44.74","48.40","43.95","135.18M","7.58%"
"01.09.2021","44.45","47.75","48.81","44.45","142.20M","-6.77%"
"01.08.2021","47.68","46.62","47.74","45.99","104.61M","2.80%"
"01.07.2021","46.38","44.32","46.93","44.17","102.93M","4.62%"
"01.06.2021","44.33","43.48","45.81","43.28","94.98M","2.47%"
"01.05.2021","43.26","42.87","43.41","41.02","105.55M","1.15%"
"01.04.2021","42.77","39.68","42.81","39.47","82.93M","8.31%"
"01.03.2021","39.49","37.76","40.00","35.89","130.13M","5.76%"
"01.02.2021","37.34","36.99","38.90","36.52","67.86M","1.58%"
"01.01.2021","36.76","36.64","37.69","34.65","90.86M","0.55%"
"01.12.2020","36.56","36.87","37.36","35.30","64.99M","0.16%"
"01.11.2020","36.50","34.53","39.11","34.29","98.34M","6.88%"
"01.10.2020","34.15","35.40","37.25","33.71","84.79M","-3.18%"
"01.09.2020","35.27","36.14","37.51","33.74","101.44M","-2.70%"
"01.08.2020","36.25","36.13","36.75","35.17","69.56M","-0.03%"
"01.07.2020","36.26","34.95","36.60","34.36","134.16M","4.17%"
"01.06.2020","34.81","34.62","37.86","33.26","109.54M","0.46%"
"01.05.2020","34.65","33.09","34.91","30.03","122.72M","2.15%"
"01.04.2020","33.92","29.60","35.95","28.48","222.68M","9.42%"
"01.03.2020","31.00","36.97","40.14","24.88","334.45M","-15.74%"
"01.02.2020","36.79","39.39","42.00","35.69","137.25M","-6.22%"
"01.01.2020","39.23","38.79","40.21","37.88","87.12M","1.45%"
"01.12.2019","38.67","38.55","38.71","37.26","83.25M","0.05%"
"01.11.2019","38.65","39.38","39.51","37.55","69.81M","-1.73%"
"01.10.2019","39.33","39.30","40.34","38.53","79.72M","-0.03%"
"01.09.2019","39.34","39.15","40.14","38.47","91.78M","0.33%"
"01.08.2019","39.21","37.52","39.39","36.62","105.07M","4.81%"
"01.07.2019","37.41","36.95","38.31","36.29","91.23M","1.74%"
"01.06.2019","36.77","36.60","38.62","36.10","85.50M","0.82%"
"01.05.2019","36.47","36.06","36.99","35.26","75.86M","1.22%"
"01.04.2019","36.03","36.27","36.71","34.83","77.91M","-0.52%"
"01.03.2019","36.22","34.77","36.31","34.26","93.94M","4.35%"
"01.02.2019","34.71","34.38","35.22","33.67","85.78M","1.11%"
"01.01.2019","34.33","30.80","34.39","30.11","122.72M","10.74%"
"01.12.2018","31.00","33.90","34.50","29.52","159.21M","-8.42%"
"01.11.2018","33.85","32.18","33.88","31.58","87.91M","5.48%"
"01.10.2018","32.09","32.61","32.75","30.65","106.06M","-1.59%"
"01.09.2018","32.61","33.78","33.96","32.07","38.90M","-3.66%"
"01.08.2018","33.85","32.80","34.13","32.65","53.33M","2.42%"
"01.07.2018","33.05","32.67","33.35","32.14","56.29M","1.04%"
"01.06.2018","32.71","31.57","32.86","31.28","59.27M","3.58%"
"01.05.2018","31.58","30.94","31.81","30.43","46.73M","2.23%"
"01.04.2018","30.89","31.12","31.34","30.03","76.18M","-0.61%"
"01.03.2018","31.08","30.12","31.42","29.61","109.91M","3.22%"
"01.02.2018","30.11","32.21","32.42","29.17","108.79M","-6.81%"
"01.01.2018","32.31","32.99","33.04","31.10","44.48M","-1.91%"
"01.12.2017","32.94","33.51","33.68","32.15","32.06M","-1.52%"
"01.11.2017","33.45","32.55","34.02","32.42","37.16M","2.92%"
"01.10.2017","32.50","32.28","33.12","31.86","36.12M","0.81%"
"01.09.2017","32.24","32.96","33.46","31.88","34.22M","-2.07%"
"01.08.2017","32.92","32.65","33.04","31.82","31.23M","1.01%"
"01.07.2017","32.59","32.34","32.77","31.21","36.09M","1.21%"
"01.06.2017","32.20","31.87","32.83","31.72","56.49M","1.07%"
"01.05.2017","31.86","31.70","32.35","31.14","37.81M","0.66%"
"01.04.2017","31.65","31.66","32.59","31.45","36.39M","0.16%"
"01.03.2017","31.60","32.06","32.25","30.54","54.17M","-1.68%"
"01.02.2017","32.14","30.67","32.35","30.32","42.56M","4.66%"
"01.01.2017","30.71","30.86","31.55","30.37","38.09M","-0.13%"
"01.12.2016","30.75","29.82","31.48","29.41","43.57M","2.47%"
"01.11.2016","30.01","30.87","30.90","29.07","52.09M","-3.04%"
"01.10.2016","30.95","32.66","32.70","30.36","45.38M","-5.55%"
"01.09.2016","32.77","33.51","33.90","31.65","58.42M","-1.83%"
"01.08.2016","33.38","34.71","34.82","32.90","1.21M","-3.74%"
"01.07.2016","34.68","33.83","34.77","33.33","1.41M","3.24%"
"01.06.2016","33.59","31.75","33.60","31.63","108.30K","5.23%"
"01.05.2016","31.92","31.19","33.19","30.99","82.80K","1.72%"
"01.04.2016","31.38","32.02","33.15","31.01","89.00K","-2.43%"
"01.03.2016","32.16","29.80","32.33","29.79","201.70K","9.65%"
"01.02.2016","29.33","29.61","29.81","27.07","24.40K","0.48%"
"01.01.2016","29.19","30.98","31.38","28.12","37.50K","-6.39%"
"01.12.2015","31.18","30.98","31.59","29.92","81.50K","1.41%"
"01.11.2015","30.75","31.60","31.60","26.70","315.80K","-0.65%"